Name Of Movie,Year Of Release,Ranking Change_Jump,Change,Users_count,Rating
Captain Marvel,2019,26,up,,
Aquaman,2018,8,up,20081,8.0
Creed II,2018,2,down,19446,7.8
Avengers: Endgame,2019,35,up,,
Bohemian Rhapsody,2018,2,down,150357,8.3
Venom,2018,0,no change,170217,6.9
Fantastic Beasts: The Crimes of Grindelwald,2018,5,down,83948,6.9
Mortal Engines,2018,17,up,10005,6.5
Ralph Breaks the Internet,2018,4,down,20164,7.5
Mowgli,2018,41,up,18296,6.7
Spider-Man: Into the Spider-Verse,2018,13,up,13626,8.8
Robin Hood,2018,4,down,11331,5.4
The Ballad of Buster Scruggs,2018,9,down,40269,7.4
The Grinch,2018,2,down,11778,6.4
Vice,2018,55,up,117,7.3
The Christmas Chronicles,2018,7,down,19264,7.3
Widows,2018,6,down,22101,7.4
A Star Is Born,2018,5,down,115216,8.1
The Favourite,2018,2,down,5064,8.3
The Predator,2018,5,down,61119,5.5
2.0,2018,2,down,12422,7.3
Mary Queen of Scots,2018,47,up,630,6.5
Mission: Impossible - Fallout,2018,0,no change,183759,7.9
Avengers: Infinity War,2018,2,up,538710,8.5
Smallfoot,2018,343,up,10410,6.7
The Greatest Showman,2017,20,up,171922,7.7
The Possession of Hannah Grace,2018,9,down,2806,5.1
National Lampoon's Christmas Vacation,1989,22,up,127647,7.6
Bumblebee,2018,4,up,1154,7.3
Halloween,2018,2,up,54133,7.0
How the Grinch Stole Christmas,2000,9,up,173957,6.1
The Lion King,2019,25,down,,
Crazy Rich Asians,2018,17,down,55383,7.1
Mary Poppins Returns,2018,3,down,,
Love Actually,2003,13,up,371486,7.6
Green Book,2018,6,down,7409,8.3
Under the Silver Lake,2018,544,up,5089,6.5
Dumplin',2018,106,up,4950,7.0
Vox Lux,2018,17,down,1424,6.2
Elf,2003,37,up,180119,6.9
The House with a Clock in Its Walls,2018,44,up,16420,6.1
Instant Family,2018,14,down,4772,7.6
The Nun,2018,14,down,65951,5.5
Outlaw King,2018,24,down,31392,7.0
Incredibles 2,2018,10,down,149024,7.9
Roma,2018,19,up,10336,8.6
Peppermint,2018,26,down,17918,6.5
The Meg,2018,10,down,81306,5.8
The Little Mermaid,2018,439,up,3154,4.2
Joker,2019,11,up,,
Welcome to Marwen,2018,1,up,,
Home Alone,1990,20,up,387869,7.5
Once Upon a Time in Hollywood,2019,6,down,,
BlacKkKlansman,2018,1,up,65601,7.6
The Mule,2018,12,up,1057,7.6
Overlord,2018,19,down,17367,7.1
Deadpool 2,2018,3,down,313833,7.8
Searching,2018,13,down,53372,7.7
Mile 22,2018,16,down,32425,6.1
A Christmas Prince: The Royal Wedding,2018,74,up,2737,5.1
A Christmas Story,1983,86,up,118290,8.0
The Happytime Murders,2018,5,down,10915,5.3
First Man,2018,22,down,58934,7.6
Black Panther,2018,10,up,424424,7.4
A Christmas Prince,2017,61,up,10158,5.7
Colette,2018,512,up,3456,6.8
Suspiria,2018,5,down,10219,7.3
Fantastic Beasts and Where to Find Them,2016,34,down,338686,7.3
The House That Jack Built,2018,33,down,6657,7.3
The Equalizer 2,2018,10,down,64248,6.8
Rampage,2018,212,up,95055,6.1
Ant-Man and the Wasp,2018,4,up,163914,7.2
A Simple Favor,2018,47,up,33991,7.0
Artemis Fowl,2019,60,down,,
The Nutcracker and the Four Realms,2018,9,down,8804,5.6
Happy Death Day 2U,2019,53,up,,
Hereditary,2018,18,up,110064,7.3
The Girl in the Spider's Web,2018,29,down,8288,6.1
If Beale Street Could Talk,2018,75,up,1137,7.1
Ben Is Back,2018,61,up,649,6.7
Creed,2015,25,down,208933,7.6
A Quiet Place,2018,10,up,238330,7.6
Extremely Wicked, Shockingly Evil and Vile,2019,24,down,,
Glass,2019,14,up,,
Spider-Man: Far From Home,2019,80,up,,
Life Itself,2018,724,up,2300,5.9
The Polar Express,2004,50,up,148583,6.6
Harry Potter and the Sorcerer's Stone,2001,15,down,548648,7.6
The Santa Clause,1994,14,up,81035,6.4
The Princess Switch,2018,37,down,8531,6.0
Solo: A Star Wars Story,2018,12,down,179639,7.0
Hellboy,2019,9,down,,
Holmes & Watson,2018,28,up,,
Die Hard,1988,85,up,698405,8.2
Alpha,2018,14,down,28429,6.8
Tumbbad,2018,201,up,6972,8.5
It's a Wonderful Life,1946,8,up,341702,8.6
Boy Erased,2018,11,down,3784,7.2
The Irishman,2019,13,up,,
Schindler's List,1993,100,up,1047421,8.9
